x y
71.2132 71.2132
71.0459 71.3792
70.8774 71.5438
70.7075 71.7071
70.5364 71.8691
70.364 72.0297
70.1904 72.1889
70.0155 72.3468
69.8394 72.5033
69.662 72.6585
69.4834 72.8122
69.3037 72.9645
69.1227 73.1154
68.9406 73.2649
68.7573 73.4129
68.5728 73.5595
68.3872 73.7047
68.2005 73.8483
68.0126 73.9905
67.8236 74.1313
67.6336 74.2705
67.4424 74.4083
67.2502 74.5445
67.0569 74.6792
66.8625 74.8124
66.6671 74.9441
66.4707 75.0742
66.2732 75.2028
66.0748 75.3298
65.8754 75.4553
65.6749 75.5792
65.4736 75.7015
65.2712 75.8223
65.068 75.9414
64.8638 76.0589
64.6586 76.1749
64.4526 76.2892
64.2457 76.4019
64.0379 76.513
63.8292 76.6224
63.6197 76.7302
63.4094 76.8363
63.1982 76.9408
62.9862 77.0437
62.7734 77.1448
62.5598 77.2443
62.3454 77.3421
62.1303 77.4382
61.9144 77.5326
61.6978 77.6254
61.4805 77.7164
61.2625 77.8057
61.0437 77.8933
60.8243 77.9792
60.6042 78.0633
60.3835 78.1457
60.1621 78.2264
59.9401 78.3054
59.7175 78.3826
59.4943 78.458
59.2705 78.5317
59.0461 78.6036
58.8212 78.6738
58.5957 78.7422
58.3697 78.8088
58.1432 78.8737
57.9162 78.9367
57.6887 78.998
57.4607 79.0575
57.2322 79.1152
57.0034 79.1711
56.774 79.2252
56.5443 79.2775
56.3141 79.328
56.0836 79.3767
55.8527 79.4236
55.6214 79.4686
55.3898 79.5119
55.1579 79.5533
54.9256 79.5929
54.693 79.6307
54.4602 79.6666
54.227 79.7007
53.9936 79.733
53.76 79.7634
53.5261 79.7921
53.292 79.8188
53.0577 79.8438
52.8232 79.8669
52.5886 79.8881
52.3538 79.9075
52.1188 79.9251
51.8837 79.9408
51.6485 79.9547
51.4132 79.9667
51.1778 79.9769
50.9423 79.9852
50.7068 79.9917
50.4712 79.9963
50.2356 79.9991
50 80
49.7644 79.9991
49.5288 79.9963
49.2932 79.9917
49.0577 79.9852
48.8222 79.9769
48.5868 79.9667
48.3515 79.9547
48.1163 79.9408
47.8812 79.9251
47.6462 79.9075
47.4114 79.8881
47.1767 79.8669
46.9423 79.8438
46.708 79.8188
46.4739 79.7921
46.24 79.7634
46.0064 79.733
45.773 79.7007
45.5398 79.6666
45.307 79.6306
45.0744 79.5929
44.8421 79.5533
44.6102 79.5119
44.3786 79.4686
44.1473 79.4236
43.9164 79.3767
43.6858 79.328
43.4557 79.2775
43.226 79.2252
42.9966 79.1711
42.7677 79.1152
42.5393 79.0575
42.3113 78.998
42.0838 78.9367
41.8568 78.8737
41.6303 78.8088
41.4043 78.7422
41.1788 78.6738
40.9538 78.6036
40.7295 78.5317
40.5057 78.458
40.2825 78.3826
40.0599 78.3054
39.8379 78.2264
39.6165 78.1457
39.3957 78.0633
39.1757 77.9792
38.9563 77.8933
38.7375 77.8057
38.5195 77.7164
38.3022 77.6254
38.0855 77.5326
37.8697 77.4382
37.6546 77.3421
37.4402 77.2443
37.2266 77.1448
37.0138 77.0436
36.8018 76.9408
36.5906 76.8363
36.3803 76.7302
36.1708 76.6224
35.9621 76.513
35.7543 76.4019
35.5474 76.2892
35.3414 76.1749
35.1362 76.0589
34.932 75.9414
34.7287 75.8223
34.5264 75.7015
34.325 75.5792
34.1246 75.4553
33.9252 75.3298
33.7267 75.2028
33.5293 75.0742
33.3329 74.9441
33.1375 74.8124
32.9431 74.6792
32.7498 74.5445
32.5576 74.4082
32.3664 74.2705
32.1764 74.1313
31.9874 73.9905
31.7995 73.8483
31.6128 73.7046
31.4272 73.5595
31.2427 73.4129
31.0594 73.2649
30.8773 73.1154
30.6963 72.9645
30.5165 72.8122
30.338 72.6584
30.1606 72.5033
29.9845 72.3468
29.8096 72.1889
29.636 72.0297
29.4636 71.869
29.2925 71.7071
29.1226 71.5438
28.954 71.3792
50 50
71.2132 71.2132
